exp_idx,dropout,channels,pos_weight,lr,val_loss,val_acc,test_loss,test_acc
1,0.3,16,1.2,0.001,0.3412842889626821,0.9083333333333333,0.3674977401892344,0.8333333333333334
2,0.3,16,1.3,0.001,0.33605304757754006,0.9166666666666666,0.36191843152046205,0.85
3,0.3,16,1.4,0.001,0.33481131394704183,0.9083333333333333,0.3449590981006622,0.8583333333333333
4,0.3,16,1.5,0.001,0.33077526887257896,0.9083333333333333,0.3470901588598887,0.85
5,0.3,16,1.55,0.001,0.330467297633489,0.9083333333333333,0.35030752619107564,0.8333333333333334
6,0.3,16,1.2,0.0005,0.35676443179448447,0.9,0.36947519580523175,0.825
7,0.3,16,1.3,0.0005,0.3574944019317627,0.9,0.36688541173934935,0.8416666666666667
8,0.3,16,1.4,0.0005,0.3555040121078491,0.9,0.36104643940925596,0.8416666666666667
9,0.3,16,1.5,0.0005,0.35366987188657123,0.9,0.357151339451472,0.85
10,0.3,16,1.55,0.0005,0.3527794361114502,0.9,0.35522008339564004,0.85
11,0.3,32,1.2,0.001,0.3107525209585826,0.8916666666666667,0.4069632609685262,0.825
12,0.3,32,1.3,0.001,0.3083494742711385,0.8916666666666667,0.40741965770721433,0.825
13,0.3,32,1.4,0.001,0.3092900534470876,0.9,0.39864001671473187,0.825
14,0.3,32,1.5,0.001,0.30487025777498883,0.8916666666666667,0.4069758097330729,0.825
15,0.3,32,1.55,0.001,0.3398894528547923,0.8916666666666667,0.3867789844671885,0.8166666666666667
16,0.3,32,1.2,0.0005,0.3487254003683726,0.8916666666666667,0.40262282292048135,0.8166666666666667
17,0.3,32,1.3,0.0005,0.3482395311196645,0.9,0.3952524383862813,0.825
18,0.3,32,1.4,0.0005,0.33182531396547954,0.9,0.3826860328515371,0.8166666666666667
19,0.3,32,1.5,0.0005,0.33105889161427815,0.9,0.381828373670578,0.8333333333333334
20,0.3,32,1.55,0.0005,0.3285659432411194,0.9,0.37769391934076946,0.8333333333333334
21,0.3,64,1.2,0.001,0.27066469192504883,0.9083333333333333,0.34172202746073405,0.875
22,0.3,64,1.3,0.001,0.2685519019762675,0.9166666666666666,0.3330548286437988,0.8833333333333333
23,0.3,64,1.4,0.001,0.27198438843091327,0.9,0.3272278805573781,0.8833333333333333
24,0.3,64,1.5,0.001,0.2958709478378296,0.9,0.347815869251887,0.8583333333333333
25,0.3,64,1.55,0.001,0.26937373479207355,0.9,0.3235888739426931,0.875
26,0.3,64,1.2,0.0005,0.2925265371799469,0.9166666666666666,0.34952290455500284,0.8583333333333333
27,0.3,64,1.3,0.0005,0.2921549638112386,0.9166666666666666,0.3486414074897766,0.8583333333333333
28,0.3,64,1.4,0.0005,0.29399929046630857,0.9083333333333333,0.3436260223388672,0.8666666666666667
29,0.3,64,1.5,0.0005,0.29118706385294596,0.9,0.33978110750516255,0.8583333333333333
30,0.3,64,1.55,0.0005,0.29126487572987875,0.9,0.3363929549853007,0.8583333333333333
31,0.4,16,1.2,0.001,0.35006166299184166,0.9083333333333333,0.3656477272510529,0.8666666666666667
32,0.4,16,1.3,0.001,0.3506298502286275,0.9083333333333333,0.35832664370536804,0.85
33,0.4,16,1.4,0.001,0.3358362813790639,0.9166666666666666,0.33220810691515607,0.8666666666666667
34,0.4,16,1.5,0.001,0.33191389838854474,0.9083333333333333,0.32731660405794777,0.8666666666666667
35,0.4,16,1.55,0.001,0.3440736969312032,0.9083333333333333,0.3557185967763265,0.85
36,0.4,16,1.2,0.0005,0.36833852529525757,0.9,0.37639822363853453,0.825
37,0.4,16,1.3,0.0005,0.36633436679840087,0.8916666666666667,0.3713020284970601,0.85
38,0.4,16,1.4,0.0005,0.36921726663907367,0.9,0.3681009113788605,0.8416666666666667
39,0.4,16,1.5,0.0005,0.3643227716286977,0.9,0.3646507243315379,0.85
40,0.4,16,1.55,0.0005,0.3662253657976786,0.9,0.36258185704549156,0.85
41,0.4,32,1.2,0.001,0.31150315205256146,0.8916666666666667,0.43812129497528074,0.8166666666666667
42,0.4,32,1.3,0.001,0.307979009548823,0.8916666666666667,0.4155578096707662,0.8166666666666667
43,0.4,32,1.4,0.001,0.3061818540096283,0.8916666666666667,0.44566425879796345,0.8166666666666667
44,0.4,32,1.5,0.001,0.305006484190623,0.8916666666666667,0.41526956160863243,0.825
45,0.4,32,1.55,0.001,0.3049723247687022,0.8916666666666667,0.414210832118988,0.825
46,0.4,32,1.2,0.0005,0.3396827459335327,0.9,0.39529256423314413,0.8333333333333334
47,0.4,32,1.3,0.0005,0.33876545627911886,0.8916666666666667,0.3910268823305766,0.8333333333333334
48,0.4,32,1.4,0.0005,0.3359312911828359,0.8916666666666667,0.39039437572161356,0.8333333333333334
49,0.4,32,1.5,0.0005,0.3339761118094126,0.9,0.3867823243141174,0.8416666666666667
50,0.4,32,1.55,0.0005,0.33219783504803974,0.8916666666666667,0.38449445366859436,0.8333333333333334
51,0.4,64,1.2,0.001,0.2696715772151947,0.9083333333333333,0.33773080706596376,0.875
52,0.4,64,1.3,0.001,0.3013892153898875,0.9,0.3532751103242238,0.85
53,0.4,64,1.4,0.001,0.26947835087776184,0.9083333333333333,0.3292265792687734,0.875
54,0.4,64,1.5,0.001,0.26957067648569744,0.9,0.3240404705206553,0.8833333333333333
55,0.4,64,1.55,0.001,0.2669879376888275,0.9166666666666666,0.3207293828328451,0.8916666666666667
56,0.4,64,1.2,0.0005,0.294797416528066,0.9083333333333333,0.349223667383194,0.8583333333333333
57,0.4,64,1.3,0.0005,0.2946546196937561,0.9083333333333333,0.34612326820691425,0.8583333333333333
58,0.4,64,1.4,0.0005,0.2939894199371338,0.9,0.34244689146677654,0.8666666666666667
59,0.4,64,1.5,0.0005,0.2913973033428192,0.9,0.3380004227161407,0.8666666666666667
60,0.4,64,1.55,0.0005,0.2911490619182587,0.9083333333333333,0.3360160191853841,0.875
61,0.5,16,1.2,0.001,0.34818936983744303,0.9083333333333333,0.34609723488489785,0.8666666666666667
62,0.5,16,1.3,0.001,0.3582887331644694,0.9083333333333333,0.3837792217731476,0.8333333333333334
63,0.5,16,1.4,0.001,0.3566029449303945,0.9083333333333333,0.3814247786998749,0.8333333333333334
64,0.5,16,1.5,0.001,0.3519861121972402,0.9083333333333333,0.38060057163238525,0.8333333333333334
65,0.5,16,1.55,0.001,0.35265748500823973,0.9083333333333333,0.3775719165802002,0.85
66,0.5,16,1.2,0.0005,0.377460245291392,0.9,0.38525074323018393,0.825
67,0.5,16,1.3,0.0005,0.3767917215824127,0.8916666666666667,0.38191278179486593,0.85
68,0.5,16,1.4,0.0005,0.3751481572786967,0.9,0.3758539656798045,0.85
69,0.5,16,1.5,0.0005,0.37258069117863973,0.9,0.3710246602694193,0.8333333333333334
70,0.5,16,1.55,0.0005,0.371432360013326,0.8916666666666667,0.36897069613138833,0.8333333333333334
71,0.5,32,1.2,0.001,0.31344783504803975,0.9,0.45007864236831663,0.8
72,0.5,32,1.3,0.001,0.31320226192474365,0.8916666666666667,0.4414710998535156,0.8
73,0.5,32,1.4,0.001,0.30905555685361225,0.8916666666666667,0.40304328203201295,0.8333333333333334
74,0.5,32,1.5,0.001,0.30746915539105735,0.9,0.39167424440383913,0.85
