exp_idx,dropout,pos_weight,lr,val_loss,val_acc,test_loss,test_acc
1,0.3,1.3,0.001,0.18880110184351603,0.925,0.21369996666908264,0.9166666666666666
2,0.3,1.4,0.001,0.1766751398642858,0.9416666666666667,0.23104970455169677,0.8916666666666667
3,0.3,1.55,0.001,0.1902669111887614,0.925,0.22690877914428711,0.9083333333333333
4,0.3,1.3,0.0005,0.25748694837093355,0.875,0.30863239963849387,0.8916666666666667
5,0.3,1.4,0.0005,0.19929184913635253,0.925,0.2535666624704997,0.9
6,0.3,1.55,0.0005,0.207591246565183,0.9166666666666666,0.2513585845629374,0.8833333333333333
7,0.5,1.3,0.001,0.16096957822640737,0.9166666666666666,0.22774122258027393,0.9083333333333333
8,0.5,1.4,0.001,0.17662039746840794,0.9333333333333333,0.23985302249590557,0.8916666666666667
9,0.5,1.55,0.001,0.1759997735420863,0.95,0.25737629731496176,0.8916666666666667
10,0.5,1.3,0.0005,0.21582406461238862,0.9083333333333333,0.254405144850413,0.8833333333333333
11,0.5,1.4,0.0005,0.2751812696456909,0.875,0.2950364669164022,0.8833333333333333
12,0.5,1.55,0.0005,0.2093656857808431,0.9,0.26320257981618245,0.8833333333333333
